Region,Code,DevelopmentLevel,YesNo
Nigeria,566,High-income Countries,N
Saint Helena,654,High-income Countries,N
Senegal,686,High-income Countries,N
Sierra Leone,694,High-income Countries,N
Togo,768,High-income Countries,N
Algeria,12,High-income Countries,N
Egypt,818,High-income Countries,N
Libya,434,High-income Countries,N
Morocco,504,High-income Countries,N
Sudan,729,High-income Countries,N
Tunisia,788,High-income Countries,N
Western Sahara,732,High-income Countries,N
Armenia,51,High-income Countries,N
Azerbaijan,31,High-income Countries,N
Bahrain,48,High-income Countries,Y
Cyprus,196,High-income Countries,Y
Georgia,268,High-income Countries,N
Iraq,368,High-income Countries,N
Israel,376,High-income Countries,Y
Jordan,400,High-income Countries,N
Kuwait,414,High-income Countries,Y
Lebanon,422,High-income Countries,N
Oman,512,High-income Countries,Y
Qatar,634,High-income Countries,Y
Saudi Arabia,682,High-income Countries,Y
State of Palestine,275,High-income Countries,N
Syrian Arab Republic,760,High-income Countries,N
Turkey,792,High-income Countries,N
United Arab Emirates,784,High-income Countries,Y
Yemen,887,High-income Countries,N
Kazakhstan,398,High-income Countries,N
Kyrgyzstan,417,High-income Countries,N
Tajikistan,762,High-income Countries,N
Turkmenistan,795,High-income Countries,N
Uzbekistan,860,High-income Countries,N
Afghanistan,4,High-income Countries,N
Bangladesh,50,High-income Countries,N
Bhutan,64,High-income Countries,N
India,356,High-income Countries,N
Iran (Islamic Republic of),364,High-income Countries,N
Maldives,462,High-income Countries,N
Nepal,524,High-income Countries,N
Pakistan,586,High-income Countries,N
Sri Lanka,144,High-income Countries,N
China,156,High-income Countries,N
"China, Hong Kong SAR",344,High-income Countries,Y
"China, Macao SAR",446,High-income Countries,Y
Dem. People's Republic of Korea,408,High-income Countries,N
Japan,392,High-income Countries,Y
Mongolia,496,High-income Countries,N
Republic of Korea,410,High-income Countries,Y
Brunei Darussalam,96,High-income Countries,Y
Cambodia,116,High-income Countries,N
Indonesia,360,High-income Countries,N
Lao People's Democratic Republic,418,High-income Countries,N
Malaysia,458,High-income Countries,N
Myanmar,104,High-income Countries,N
Philippines,608,High-income Countries,N
Singapore,702,High-income Countries,Y
Thailand,764,High-income Countries,N
Timor-Leste,626,High-income Countries,N
Viet Nam,704,High-income Countries,N
Anguilla,660,High-income Countries,N
Antigua and Barbuda,28,High-income Countries,Y
Aruba,533,High-income Countries,Y
Bahamas,44,High-income Countries,Y
Barbados,52,High-income Countries,Y
British Virgin Islands,92,High-income Countries,Y
"Bonaire, Sint Eustatius and Saba",535,High-income Countries,N
Cayman Islands,136,High-income Countries,Y
Cuba,192,High-income Countries,N
Curaçao,531,High-income Countries,Y
Dominica,212,High-income Countries,N
Dominican Republic,214,High-income Countries,N
Grenada,308,High-income Countries,N
Guadeloupe,312,High-income Countries,N
Haiti,332,High-income Countries,N
Jamaica,388,High-income Countries,N
Martinique,474,High-income Countries,N
Montserrat,500,High-income Countries,N
Puerto Rico,630,High-income Countries,Y
Saint Kitts and Nevis,659,High-income Countries,Y
Saint Lucia,662,High-income Countries,N
Saint Vincent and the Grenadines,670,High-income Countries,N
Sint Maarten (Dutch part),534,High-income Countries,Y
Trinidad and Tobago,780,High-income Countries,Y
Turks and Caicos Islands,796,High-income Countries,Y
United States Virgin Islands,850,High-income Countries,Y
Belize,84,High-income Countries,N
Costa Rica,188,High-income Countries,N
El Salvador,222,High-income Countries,N
Guatemala,320,High-income Countries,N
Honduras,340,High-income Countries,N
Mexico,484,High-income Countries,N
Nicaragua,558,High-income Countries,N
Panama,591,High-income Countries,Y
Argentina,32,High-income Countries,Y
Bolivia (Plurinational State of),68,High-income Countries,N
Brazil,76,High-income Countries,N
Chile,152,High-income Countries,Y
Colombia,170,High-income Countries,N
Ecuador,218,High-income Countries,N
Falkland Islands (Malvinas),238,High-income Countries,N
French Guiana,254,High-income Countries,N
Guyana,328,High-income Countries,N
Paraguay,600,High-income Countries,N
Peru,604,High-income Countries,N
Suriname,740,High-income Countries,N
Uruguay,858,High-income Countries,Y
Venezuela (Bolivarian Republic of),862,High-income Countries,N
Australia,36,High-income Countries,Y
New Zealand,554,High-income Countries,Y
Fiji,242,High-income Countries,N
New Caledonia,540,High-income Countries,Y
Papua New Guinea,598,High-income Countries,N
Solomon Islands,90,High-income Countries,N
Vanuatu,548,High-income Countries,N
Guam,316,High-income Countries,Y
Kiribati,296,High-income Countries,N
Marshall Islands,584,High-income Countries,N
Micronesia (Fed. States of),583,High-income Countries,N
Nauru,520,High-income Countries,N
Northern Mariana Islands,580,High-income Countries,Y
Palau,585,High-income Countries,Y
American Samoa,16,High-income Countries,N
Cook Islands,184,High-income Countries,N
French Polynesia,258,High-income Countries,Y
Niue,570,High-income Countries,N
Samoa,882,High-income Countries,N
Tokelau,772,High-income Countries,N
Tonga,776,High-income Countries,N
Tuvalu,798,High-income Countries,N
Wallis and Futuna Islands,876,High-income Countries,N
Belarus,112,High-income Countries,N
Bulgaria,100,High-income Countries,N
Czechia,203,High-income Countries,Y
Hungary,348,High-income Countries,Y
Poland,616,High-income Countries,Y
Republic of Moldova,498,High-income Countries,N
Romania,642,High-income Countries,N
Russian Federation,643,High-income Countries,N
Slovakia,703,High-income Countries,Y
Ukraine,804,High-income Countries,N
Channel Islands,830,High-income Countries,Y
Denmark,208,High-income Countries,Y
Estonia,233,High-income Countries,Y
Faroe Islands,234,High-income Countries,Y
Finland,246,High-income Countries,Y
Iceland,352,High-income Countries,Y
Ireland,372,High-income Countries,Y
Isle of Man,833,High-income Countries,Y
Latvia,428,High-income Countries,Y
Lithuania,440,High-income Countries,Y
Norway,578,High-income Countries,Y
Sweden,752,High-income Countries,Y
United Kingdom,826,High-income Countries,Y
Albania,8,High-income Countries,N
Andorra,20,High-income Countries,Y
Bosnia and Herzegovina,70,High-income Countries,N
Croatia,191,High-income Countries,Y
Gibraltar,292,High-income Countries,Y
Greece,300,High-income Countries,Y
Holy See,336,High-income Countries,N
Italy,380,High-income Countries,Y
Malta,470,High-income Countries,Y
Montenegro,499,High-income Countries,N
North Macedonia,807,High-income Countries,N
Portugal,620,High-income Countries,Y
San Marino,674,High-income Countries,Y
Serbia,688,High-income Countries,N
Slovenia,705,High-income Countries,Y
Spain,724,High-income Countries,Y
Austria,40,High-income Countries,Y
Belgium,56,High-income Countries,Y
France,250,High-income Countries,Y
Germany,276,High-income Countries,Y
Liechtenstein,438,High-income Countries,Y
Luxembourg,442,High-income Countries,Y
Monaco,492,High-income Countries,Y
Netherlands,528,High-income Countries,Y
Switzerland,756,High-income Countries,Y
Bermuda,60,High-income Countries,Y
Canada,124,High-income Countries,Y
Greenland,304,High-income Countries,Y
Saint Pierre and Miquelon,666,High-income Countries,N
United States of America,840,High-income Countries,Y
Burundi,108,Middle-income Countries,N
Comoros,174,Middle-income Countries,N
Djibouti,262,Middle-income Countries,N
Eritrea,232,Middle-income Countries,N
Ethiopia,231,Middle-income Countries,N
Kenya,404,Middle-income Countries,N
Madagascar,450,Middle-income Countries,N
Malawi,454,Middle-income Countries,N
Mauritius,480,Middle-income Countries,N
Mayotte,175,Middle-income Countries,N
Mozambique,508,Middle-income Countries,N
Réunion,638,Middle-income Countries,N
Rwanda,646,Middle-income Countries,N
Seychelles,690,Middle-income Countries,N
Somalia,706,Middle-income Countries,N
South Sudan,728,Middle-income Countries,N
Uganda,800,Middle-income Countries,N
United Republic of Tanzania,834,Middle-income Countries,N
Zambia,894,Middle-income Countries,N
Zimbabwe,716,Middle-income Countries,N
Angola,24,Middle-income Countries,N
Cameroon,120,Middle-income Countries,N
Central African Republic,140,Middle-income Countries,N
Chad,148,Middle-income Countries,N
Congo,178,Middle-income Countries,N
Democratic Republic of the Congo,180,Middle-income Countries,N
Equatorial Guinea,226,Middle-income Countries,N
Gabon,266,Middle-income Countries,N
Sao Tome and Principe,678,Middle-income Countries,N
Botswana,72,Middle-income Countries,N
Eswatini,748,Middle-income Countries,N
Lesotho,426,Middle-income Countries,N
Namibia,516,Middle-income Countries,N
South Africa,710,Middle-income Countries,N
Benin,204,Middle-income Countries,N
Burkina Faso,854,Middle-income Countries,N
Cabo Verde,132,Middle-income Countries,N
Côte d'Ivoire,384,Middle-income Countries,N
Gambia,270,Middle-income Countries,N
Ghana,288,Middle-income Countries,N
Guinea,324,Middle-income Countries,N
Guinea-Bissau,624,Middle-income Countries,N
Liberia,430,Middle-income Countries,N
Mali,466,Middle-income Countries,N
Mauritania,478,Middle-income Countries,N
Niger,562,Middle-income Countries,N
Nigeria,566,Middle-income Countries,N
Saint Helena,654,Middle-income Countries,N
Senegal,686,Middle-income Countries,N
Sierra Leone,694,Middle-income Countries,N
Togo,768,Middle-income Countries,N
Algeria,12,Middle-income Countries,N
Egypt,818,Middle-income Countries,N
Libya,434,Middle-income Countries,N
Morocco,504,Middle-income Countries,N
Sudan,729,Middle-income Countries,N
Tunisia,788,Middle-income Countries,N
Western Sahara,732,Middle-income Countries,N
Armenia,51,Middle-income Countries,N
Azerbaijan,31,Middle-income Countries,N
Bahrain,48,Middle-income Countries,N
Cyprus,196,Middle-income Countries,N
Georgia,268,Middle-income Countries,N
Iraq,368,Middle-income Countries,N
Israel,376,Middle-income Countries,N
Jordan,400,Middle-income Countries,N
Kuwait,414,Middle-income Countries,N
Lebanon,422,Middle-income Countries,N
Oman,512,Middle-income Countries,N
Qatar,634,Middle-income Countries,N
Saudi Arabia,682,Middle-income Countries,N
State of Palestine,275,Middle-income Countries,N
Syrian Arab Republic,760,Middle-income Countries,N
Turkey,792,Middle-income Countries,N
United Arab Emirates,784,Middle-income Countries,N
Yemen,887,Middle-income Countries,N
Kazakhstan,398,Middle-income Countries,N
Kyrgyzstan,417,Middle-income Countries,N
Tajikistan,762,Middle-income Countries,N
Turkmenistan,795,Middle-income Countries,N
Uzbekistan,860,Middle-income Countries,N
Afghanistan,4,Middle-income Countries,N
Bangladesh,50,Middle-income Countries,N
Bhutan,64,Middle-income Countries,N
India,356,Middle-income Countries,N
Iran (Islamic Republic of),364,Middle-income Countries,N
Maldives,462,Middle-income Countries,N
Nepal,524,Middle-income Countries,N
Pakistan,586,Middle-income Countries,N
Sri Lanka,144,Middle-income Countries,N
China,156,Middle-income Countries,N
"China, Hong Kong SAR",344,Middle-income Countries,N
"China, Macao SAR",446,Middle-income Countries,N
Dem. People's Republic of Korea,408,Middle-income Countries,N
Japan,392,Middle-income Countries,N
Mongolia,496,Middle-income Countries,N
Republic of Korea,410,Middle-income Countries,N
Brunei Darussalam,96,Middle-income Countries,N
Cambodia,116,Middle-income Countries,N
Indonesia,360,Middle-income Countries,N
Lao People's Democratic Republic,418,Middle-income Countries,N
Malaysia,458,Middle-income Countries,N
Myanmar,104,Middle-income Countries,N
Philippines,608,Middle-income Countries,N
Singapore,702,Middle-income Countries,N
Thailand,764,Middle-income Countries,N
Timor-Leste,626,Middle-income Countries,N
Viet Nam,704,Middle-income Countries,N
Anguilla,660,Middle-income Countries,N
Antigua and Barbuda,28,Middle-income Countries,N
Aruba,533,Middle-income Countries,N
Bahamas,44,Middle-income Countries,N
Barbados,52,Middle-income Countries,N
British Virgin Islands,92,Middle-income Countries,N
"Bonaire, Sint Eustatius and Saba",535,Middle-income Countries,N
Cayman Islands,136,Middle-income Countries,N
Cuba,192,Middle-income Countries,N
Curaçao,531,Middle-income Countries,N
Dominica,212,Middle-income Countries,N
Dominican Republic,214,Middle-income Countries,N
Grenada,308,Middle-income Countries,N
Guadeloupe,312,Middle-income Countries,N
Haiti,332,Middle-income Countries,N
Jamaica,388,Middle-income Countries,N
Martinique,474,Middle-income Countries,N
Montserrat,500,Middle-income Countries,N
Puerto Rico,630,Middle-income Countries,N
Saint Kitts and Nevis,659,Middle-income Countries,N
Saint Lucia,662,Middle-income Countries,N
Saint Vincent and the Grenadines,670,Middle-income Countries,N
Sint Maarten (Dutch part),534,Middle-income Countries,N
Trinidad and Tobago,780,Middle-income Countries,N
Turks and Caicos Islands,796,Middle-income Countries,N
United States Virgin Islands,850,Middle-income Countries,N
Belize,84,Middle-income Countries,N
Costa Rica,188,Middle-income Countries,N
El Salvador,222,Middle-income Countries,N
Guatemala,320,Middle-income Countries,N
Honduras,340,Middle-income Countries,N
Mexico,484,Middle-income Countries,N
Nicaragua,558,Middle-income Countries,N
Panama,591,Middle-income Countries,N
Argentina,32,Middle-income Countries,N
Bolivia (Plurinational State of),68,Middle-income Countries,N
Brazil,76,Middle-income Countries,N
Chile,152,Middle-income Countries,N
Colombia,170,Middle-income Countries,N
Ecuador,218,Middle-income Countries,N
Falkland Islands (Malvinas),238,Middle-income Countries,N
French Guiana,254,Middle-income Countries,N
Guyana,328,Middle-income Countries,N
Paraguay,600,Middle-income Countries,N
Peru,604,Middle-income Countries,N
Suriname,740,Middle-income Countries,N
Uruguay,858,Middle-income Countries,N
Venezuela (Bolivarian Republic of),862,Middle-income Countries,N
Australia,36,Middle-income Countries,N
New Zealand,554,Middle-income Countries,N
Fiji,242,Middle-income Countries,N
New Caledonia,540,Middle-income Countries,N
Papua New Guinea,598,Middle-income Countries,N
Solomon Islands,90,Middle-income Countries,N
Vanuatu,548,Middle-income Countries,N
Guam,316,Middle-income Countries,N
Kiribati,296,Middle-income Countries,N
Marshall Islands,584,Middle-income Countries,N
Micronesia (Fed. States of),583,Middle-income Countries,N
Nauru,520,Middle-income Countries,N
Northern Mariana Islands,580,Middle-income Countries,N
Palau,585,Middle-income Countries,N
American Samoa,16,Middle-income Countries,N
Cook Islands,184,Middle-income Countries,N
French Polynesia,258,Middle-income Countries,N
Niue,570,Middle-income Countries,N
Samoa,882,Middle-income Countries,N
Tokelau,772,Middle-income Countries,N
Tonga,776,Middle-income Countries,N
Tuvalu,798,Middle-income Countries,N
Wallis and Futuna Islands,876,Middle-income Countries,N
Belarus,112,Middle-income Countries,N
Bulgaria,100,Middle-income Countries,N
Czechia,203,Middle-income Countries,N
Hungary,348,Middle-income Countries,N
Poland,616,Middle-income Countries,N
Republic of Moldova,498,Middle-income Countries,N
Romania,642,Middle-income Countries,N
Russian Federation,643,Middle-income Countries,N
Slovakia,703,Middle-income Countries,N
Ukraine,804,Middle-income Countries,N
Channel Islands,830,Middle-income Countries,N
Denmark,208,Middle-income Countries,N
Estonia,233,Middle-income Countries,N
Faroe Islands,234,Middle-income Countries,N
Finland,246,Middle-income Countries,N
Iceland,352,Middle-income Countries,N
Ireland,372,Middle-income Countries,N
Isle of Man,833,Middle-income Countries,N
Latvia,428,Middle-income Countries,N
Lithuania,440,Middle-income Countries,N
Norway,578,Middle-income Countries,N
Sweden,752,Middle-income Countries,N
United Kingdom,826,Middle-income Countries,N
Albania,8,Middle-income Countries,N
Andorra,20,Middle-income Countries,N
Bosnia and Herzegovina,70,Middle-income Countries,N
Croatia,191,Middle-income Countries,N
Gibraltar,292,Middle-income Countries,N
Greece,300,Middle-income Countries,N
Holy See,336,Middle-income Countries,N
Italy,380,Middle-income Countries,N
Malta,470,Middle-income Countries,N
Montenegro,499,Middle-income Countries,N
North Macedonia,807,Middle-income Countries,N
Portugal,620,Middle-income Countries,N
San Marino,674,Middle-income Countries,N
Serbia,688,Middle-income Countries,N
Slovenia,705,Middle-income Countries,N
Spain,724,Middle-income Countries,N
Austria,40,Middle-income Countries,N
Belgium,56,Middle-income Countries,N
France,250,Middle-income Countries,N
Germany,276,Middle-income Countries,N
Liechtenstein,438,Middle-income Countries,N
Luxembourg,442,Middle-income Countries,N
Monaco,492,Middle-income Countries,N
Netherlands,528,Middle-income Countries,N
Switzerland,756,Middle-income Countries,N
Bermuda,60,Middle-income Countries,N
Canada,124,Middle-income Countries,N
Greenland,304,Middle-income Countries,N
Saint Pierre and Miquelon,666,Middle-income Countries,N
United States of America,840,Middle-income Countries,N
Burundi,108,Upper-middle-income Countries,N
Comoros,174,Upper-middle-income Countries,N
Djibouti,262,Upper-middle-income Countries,N
Eritrea,232,Upper-middle-income Countries,N
Ethiopia,231,Upper-middle-income Countries,N
Kenya,404,Upper-middle-income Countries,N
Madagascar,450,Upper-middle-income Countries,N
Malawi,454,Upper-middle-income Countries,N
Mauritius,480,Upper-middle-income Countries,Y
Mayotte,175,Upper-middle-income Countries,N
Mozambique,508,Upper-middle-income Countries,N
Réunion,638,Upper-middle-income Countries,N
Rwanda,646,Upper-middle-income Countries,N
Seychelles,690,Upper-middle-income Countries,N
Somalia,706,Upper-middle-income Countries,N
South Sudan,728,Upper-middle-income Countries,N
Uganda,800,Upper-middle-income Countries,N
United Republic of Tanzania,834,Upper-middle-income Countries,N
Zambia,894,Upper-middle-income Countries,N
Zimbabwe,716,Upper-middle-income Countries,N
Angola,24,Upper-middle-income Countries,N
Cameroon,120,Upper-middle-income Countries,N
Central African Republic,140,Upper-middle-income Countries,N
Chad,148,Upper-middle-income Countries,N
Congo,178,Upper-middle-income Countries,N
Democratic Republic of the Congo,180,Upper-middle-income Countries,N
Equatorial Guinea,226,Upper-middle-income Countries,Y
Gabon,266,Upper-middle-income Countries,Y
Sao Tome and Principe,678,Upper-middle-income Countries,N
Botswana,72,Upper-middle-income Countries,Y
Eswatini,748,Upper-middle-income Countries,N
Lesotho,426,Upper-middle-income Countries,N
Namibia,516,Upper-middle-income Countries,Y
South Africa,710,Upper-middle-income Countries,Y
Benin,204,Upper-middle-income Countries,N
Burkina Faso,854,Upper-middle-income Countries,N
Cabo Verde,132,Upper-middle-income Countries,N
Côte d'Ivoire,384,Upper-middle-income Countries,N
Gambia,270,Upper-middle-income Countries,N
Ghana,288,Upper-middle-income Countries,N
Guinea,324,Upper-middle-income Countries,N
Guinea-Bissau,624,Upper-middle-income Countries,N
Liberia,430,Upper-middle-income Countries,N
Mali,466,Upper-middle-income Countries,N
Mauritania,478,Upper-middle-income Countries,N
Niger,562,Upper-middle-income Countries,N
Nigeria,566,Upper-middle-income Countries,N
Saint Helena,654,Upper-middle-income Countries,N
Senegal,686,Upper-middle-income Countries,N
Sierra Leone,694,Upper-middle-income Countries,N
Togo,768,Upper-middle-income Countries,N
Algeria,12,Upper-middle-income Countries,Y
Egypt,818,Upper-middle-income Countries,N
Libya,434,Upper-middle-income Countries,Y
Morocco,504,Upper-middle-income Countries,N
Sudan,729,Upper-middle-income Countries,N
Tunisia,788,Upper-middle-income Countries,N
Western Sahara,732,Upper-middle-income Countries,N
Armenia,51,Upper-middle-income Countries,Y
Azerbaijan,31,Upper-middle-income Countries,Y
Bahrain,48,Upper-middle-income Countries,N
Cyprus,196,Upper-middle-income Countries,N
Georgia,268,Upper-middle-income Countries,N
Iraq,368,Upper-middle-income Countries,Y
Israel,376,Upper-middle-income Countries,N
Jordan,400,Upper-middle-income Countries,Y
Kuwait,414,Upper-middle-income Countries,N
Lebanon,422,Upper-middle-income Countries,Y
Oman,512,Upper-middle-income Countries,N
Qatar,634,Upper-middle-income Countries,N
Saudi Arabia,682,Upper-middle-income Countries,N
State of Palestine,275,Upper-middle-income Countries,N
Syrian Arab Republic,760,Upper-middle-income Countries,N
Turkey,792,Upper-middle-income Countries,Y
United Arab Emirates,784,Upper-middle-income Countries,N
Yemen,887,Upper-middle-income Countries,N
Kazakhstan,398,Upper-middle-income Countries,Y
Kyrgyzstan,417,Upper-middle-income Countries,N
Tajikistan,762,Upper-middle-income Countries,N
Turkmenistan,795,Upper-middle-income Countries,Y
Uzbekistan,860,Upper-middle-income Countries,N
Afghanistan,4,Upper-middle-income Countries,N
Bangladesh,50,Upper-middle-income Countries,N
Bhutan,64,Upper-middle-income Countries,N
India,356,Upper-middle-income Countries,N
Iran (Islamic Republic of),364,Upper-middle-income Countries,Y
Maldives,462,Upper-middle-income Countries,Y
Nepal,524,Upper-middle-income Countries,N
Pakistan,586,Upper-middle-income Countries,N
Sri Lanka,144,Upper-middle-income Countries,N
China,156,Upper-middle-income Countries,Y
"China, Hong Kong SAR",344,Upper-middle-income Countries,N
"China, Macao SAR",446,Upper-middle-income Countries,N
Dem. People's Republic of Korea,408,Upper-middle-income Countries,N
Japan,392,Upper-middle-income Countries,N
Mongolia,496,Upper-middle-income Countries,N
Republic of Korea,410,Upper-middle-income Countries,N
Brunei Darussalam,96,Upper-middle-income Countries,N
Cambodia,116,Upper-middle-income Countries,N
Indonesia,360,Upper-middle-income Countries,N
Lao People's Democratic Republic,418,Upper-middle-income Countries,N
Malaysia,458,Upper-middle-income Countries,Y
Myanmar,104,Upper-middle-income Countries,N
Philippines,608,Upper-middle-income Countries,N
Singapore,702,Upper-middle-income Countries,N
Thailand,764,Upper-middle-income Countries,Y
Timor-Leste,626,Upper-middle-income Countries,N
Viet Nam,704,Upper-middle-income Countries,N
Anguilla,660,Upper-middle-income Countries,N
Antigua and Barbuda,28,Upper-middle-income Countries,N
Aruba,533,Upper-middle-income Countries,N
Bahamas,44,Upper-middle-income Countries,N
Barbados,52,Upper-middle-income Countries,N
British Virgin Islands,92,Upper-middle-income Countries,N
"Bonaire, Sint Eustatius and Saba",535,Upper-middle-income Countries,N
Cayman Islands,136,Upper-middle-income Countries,N
Cuba,192,Upper-middle-income Countries,Y
Curaçao,531,Upper-middle-income Countries,N
Dominica,212,Upper-middle-income Countries,Y
Dominican Republic,214,Upper-middle-income Countries,Y
Grenada,308,Upper-middle-income Countries,Y
Guadeloupe,312,Upper-middle-income Countries,N
Haiti,332,Upper-middle-income Countries,N
Jamaica,388,Upper-middle-income Countries,Y
Martinique,474,Upper-middle-income Countries,N
Montserrat,500,Upper-middle-income Countries,N
Puerto Rico,630,Upper-middle-income Countries,N
Saint Kitts and Nevis,659,Upper-middle-income Countries,N
Saint Lucia,662,Upper-middle-income Countries,Y
Saint Vincent and the Grenadines,670,Upper-middle-income Countries,Y
Sint Maarten (Dutch part),534,Upper-middle-income Countries,N
Trinidad and Tobago,780,Upper-middle-income Countries,N
Turks and Caicos Islands,796,Upper-middle-income Countries,N
United States Virgin Islands,850,Upper-middle-income Countries,N
Belize,84,Upper-middle-income Countries,Y
Costa Rica,188,Upper-middle-income Countries,Y
El Salvador,222,Upper-middle-income Countries,N
Guatemala,320,Upper-middle-income Countries,Y
Honduras,340,Upper-middle-income Countries,N
Mexico,484,Upper-middle-income Countries,Y
Nicaragua,558,Upper-middle-income Countries,N
Panama,591,Upper-middle-income Countries,N
Argentina,32,Upper-middle-income Countries,N
Bolivia (Plurinational State of),68,Upper-middle-income Countries,N
Brazil,76,Upper-middle-income Countries,Y
Chile,152,Upper-middle-income Countries,N
Colombia,170,Upper-middle-income Countries,Y
Ecuador,218,Upper-middle-income Countries,Y
Falkland Islands (Malvinas),238,Upper-middle-income Countries,N
French Guiana,254,Upper-middle-income Countries,N
Guyana,328,Upper-middle-income Countries,Y
Paraguay,600,Upper-middle-income Countries,Y
Peru,604,Upper-middle-income Countries,Y
Suriname,740,Upper-middle-income Countries,Y
Uruguay,858,Upper-middle-income Countries,N
Venezuela (Bolivarian Republic of),862,Upper-middle-income Countries,Y
Australia,36,Upper-middle-income Countries,N
New Zealand,554,Upper-middle-income Countries,N
Fiji,242,Upper-middle-income Countries,Y
New Caledonia,540,Upper-middle-income Countries,N
Papua New Guinea,598,Upper-middle-income Countries,N
Solomon Islands,90,Upper-middle-income Countries,N
Vanuatu,548,Upper-middle-income Countries,N
Guam,316,Upper-middle-income Countries,N
Kiribati,296,Upper-middle-income Countries,N
Marshall Islands,584,Upper-middle-income Countries,Y
Micronesia (Fed. States of),583,Upper-middle-income Countries,N
Nauru,520,Upper-middle-income Countries,Y
Northern Mariana Islands,580,Upper-middle-income Countries,N
Palau,585,Upper-middle-income Countries,N
American Samoa,16,Upper-middle-income Countries,Y
Cook Islands,184,Upper-middle-income Countries,N
French Polynesia,258,Upper-middle-income Countries,N
Niue,570,Upper-middle-income Countries,N
Samoa,882,Upper-middle-income Countries,Y
Tokelau,772,Upper-middle-income Countries,N
Tonga,776,Upper-middle-income Countries,Y
Tuvalu,798,Upper-middle-income Countries,Y
Wallis and Futuna Islands,876,Upper-middle-income Countries,N
Belarus,112,Upper-middle-income Countries,Y
Bulgaria,100,Upper-middle-income Countries,Y
Czechia,203,Upper-middle-income Countries,N
Hungary,348,Upper-middle-income Countries,N
Poland,616,Upper-middle-income Countries,N
Republic of Moldova,498,Upper-middle-income Countries,N
Romania,642,Upper-middle-income Countries,Y
Russian Federation,643,Upper-middle-income Countries,Y
Slovakia,703,Upper-middle-income Countries,N
Ukraine,804,Upper-middle-income Countries,N
Channel Islands,830,Upper-middle-income Countries,N
Denmark,208,Upper-middle-income Countries,N
Estonia,233,Upper-middle-income Countries,N
Faroe Islands,234,Upper-middle-income Countries,N
Finland,246,Upper-middle-income Countries,N
Iceland,352,Upper-middle-income Countries,N
Ireland,372,Upper-middle-income Countries,N
Isle of Man,833,Upper-middle-income Countries,N
Latvia,428,Upper-middle-income Countries,N
Lithuania,440,Upper-middle-income Countries,N
Norway,578,Upper-middle-income Countries,N
Sweden,752,Upper-middle-income Countries,N
United Kingdom,826,Upper-middle-income Countries,N
Albania,8,Upper-middle-income Countries,Y
Andorra,20,Upper-middle-income Countries,N
Bosnia and Herzegovina,70,Upper-middle-income Countries,Y
Croatia,191,Upper-middle-income Countries,N
Gibraltar,292,Upper-middle-income Countries,N
Greece,300,Upper-middle-income Countries,N
Holy See,336,Upper-middle-income Countries,N
Italy,380,Upper-middle-income Countries,N
Malta,470,Upper-middle-income Countries,N
Montenegro,499,Upper-middle-income Countries,Y
North Macedonia,807,Upper-middle-income Countries,Y
Portugal,620,Upper-middle-income Countries,N
San Marino,674,Upper-middle-income Countries,N
Serbia,688,Upper-middle-income Countries,Y
Slovenia,705,Upper-middle-income Countries,N
Spain,724,Upper-middle-income Countries,N
Austria,40,Upper-middle-income Countries,N
Belgium,56,Upper-middle-income Countries,N
France,250,Upper-middle-income Countries,N
Germany,276,Upper-middle-income Countries,N
Liechtenstein,438,Upper-middle-income Countries,N
Luxembourg,442,Upper-middle-income Countries,N
Monaco,492,Upper-middle-income Countries,N
Netherlands,528,Upper-middle-income Countries,N
Switzerland,756,Upper-middle-income Countries,N
Bermuda,60,Upper-middle-income Countries,N
Canada,124,Upper-middle-income Countries,N
Greenland,304,Upper-middle-income Countries,N
Saint Pierre and Miquelon,666,Upper-middle-income Countries,N
United States of America,840,Upper-middle-income Countries,N
Burundi,108,Lower-middle-income Countries,N
Comoros,174,Lower-middle-income Countries,N
Djibouti,262,Lower-middle-income Countries,Y
Eritrea,232,Lower-middle-income Countries,N
Ethiopia,231,Lower-middle-income Countries,N
Kenya,404,Lower-middle-income Countries,Y
Madagascar,450,Lower-middle-income Countries,N
Malawi,454,Lower-middle-income Countries,N
Mauritius,480,Lower-middle-income Countries,N
Mayotte,175,Lower-middle-income Countries,N
Mozambique,508,Lower-middle-income Countries,N
Réunion,638,Lower-middle-income Countries,N
Rwanda,646,Lower-middle-income Countries,N
Seychelles,690,Lower-middle-income Countries,N
Somalia,706,Lower-middle-income Countries,N
South Sudan,728,Lower-middle-income Countries,N
Uganda,800,Lower-middle-income Countries,N
United Republic of Tanzania,834,Lower-middle-income Countries,N
Zambia,894,Lower-middle-income Countries,Y
Zimbabwe,716,Lower-middle-income Countries,N
Angola,24,Lower-middle-income Countries,Y
Cameroon,120,Lower-middle-income Countries,Y
Central African Republic,140,Lower-middle-income Countries,N
Chad,148,Lower-middle-income Countries,N
Congo,178,Lower-middle-income Countries,Y
Democratic Republic of the Congo,180,Lower-middle-income Countries,N
Equatorial Guinea,226,Lower-middle-income Countries,N
Gabon,266,Lower-middle-income Countries,N
Sao Tome and Principe,678,Lower-middle-income Countries,Y
Botswana,72,Lower-middle-income Countries,N
Eswatini,748,Lower-middle-income Countries,Y
Lesotho,426,Lower-middle-income Countries,Y
Namibia,516,Lower-middle-income Countries,N
South Africa,710,Lower-middle-income Countries,N
Benin,204,Lower-middle-income Countries,N
